1,1,2869,"Industrial Organic Chemicals, Not Elsewhere Classified"
2,2,3674,"Semiconductors and Related Devices"
3,3,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
4,4,3944,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles"
5,5,2099,"Food Preparations, Not Elsewhere Classified"
6,6,3421,"Cutlery"
7,7,3531,"Construction Machinery and Equipment"
8,8,3845,"Electromedical and Electrotherapeutic Apparatus"
9,9,2043,"Cereal Breakfast Foods "
10,10,5064,"Electrical Appliances, Television and Radio Sets"
11,7,3531,"Construction Machinery and Equipment"
12,9,2043,"Cereal Breakfast Foods "
13,3,3674,"Semiconductors and Related Devices"
14,11,4731,"Arrangement of Transportation of Freight and Cargo"
15,12,2841,"Soap and Other Detergents, Except Specialty Cleaners"
16,8,3845,"Electromedical and Electrotherapeutic Apparatus"
17,13,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
18,14,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
19,13,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
20,15,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
21,16,2844,"Perfumes, Cosmetics, and Other Toilet Preparations"
22,17,2834,"Pharmaceutical Preparations"
23,18,2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products"
24,19,3546,"Power-Driven Handtools"
25,20,3523,"Farm Machinery and Equipment "
26,21,3724,"Aircraft Engines and Engine Parts"
27,22,3845,"Electromedical and Electrotherapeutic Apparatus"
28,23,3572,"Computer Storage Devices"
29,24,3692,"Primary Batteries, Dry and Wet"
30,25,4731,"Arrangement of Transportation of Freight and Cargo"
31,20,3523,"Farm Machinery and Equipment "
32,16,2844,"Perfumes, Cosmetics, and Other Toilet Preparations"
33,12,2844,"Perfumes, Cosmetics, and Other Toilet Preparations"
34,26,3661,"Telephone and Telegraph Apparatus "
35,22,3845,"Electromedical and Electrotherapeutic Apparatus"
36,27,3523,"Farm Machinery and Equipment "
37,28,2869,"Industrial Organic Chemicals, Not Elsewhere Classified"
38,29,3724,"Aircraft Engines and Engine Parts"
